TimeStamp,ch1,ch2,ch3,ch4
1237795.3853,-22226.96,-28166.25,-17994.5,-16022.49
1237795.3893,-22236.21,-28185.28,-18004.61,-16039.9
1237795.3933,-22238.78,-28172.07,-18002.37,-16019.06
1237795.3973,-22236.59,-28179.93,-18006.18,-16012.24
1237795.4013,-22243.6,-28189.81,-18022.35,-16022.21
1237795.4053,-22245.6,-28179.84,-18022.87,-16015.58
1237795.4093,-22248.27,-28192.33,-18024.97,-16022.87
1237795.4133,-22244.6,-28178.79,-18016.48,-16013.67
1237795.4173,-22248.32,-28190.14,-18018.53,-16021.06
1237795.4213,-22249.8,-28188.38,-18018.53,-16022.97
1237795.4253,-22240.83,-28173.12,-18009.76,-16017.39
1237795.4293,-22238.59,-28171.49,-18003.75,-16008.09
1237795.4333,-22225.0,-28150.47,-17989.16,-15985.92
1237795.4373,-22228.86,-28174.59,-17996.93,-16019.73
1237795.4413,-22241.69,-28191.47,-18010.48,-16048.58
1237795.4453,-22231.68,-28171.11,-17996.79,-16033.94
1237795.4493,-22228.58,-28168.06,-17987.83,-16018.77
1237795.4533,-22236.49,-28168.97,-17996.69,-16016.82
1237795.4573,-22232.82,-28176.84,-17997.89,-16008.38
1237795.4613,-22240.21,-28185.28,-18007.47,-16018.01
1237795.4653,-22253.52,-28196.2,-18021.16,-16047.19
1237795.4693,-22258.48,-28210.69,-18025.45,-16063.5
1237795.4733,-22252.04,-28192.71,-18014.48,-16049.1
1237795.4773,-22245.46,-28190.33,-18005.23,-16038.9
